OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent, courierService ,isRTO
2661800,615007,486,MPD                 ,Dhaka,mobile-site,normal,35,8/3/2019 15:41,8/3/2019 10:17,No,Yes,E-Desh                                                                                              ,No
2661485,980429,178,MPD                 ,Dhaka,android,normal,30,8/3/2019 14:10,8/3/2019 8:45,No,Yes,E-Courier LTD                                                                                       ,No
2661129,883402,399,MPD                 ,Dhaka,android,normal,30,8/3/2019 12:50,8/3/2019 6:53,No,Yes,E-Desh                                                                                              ,No
2661095,210098,244,MPD                 ,Dhaka,desktop,normal,35,8/3/2019 12:40,8/3/2019 6:41,No,Yes,E-Courier LTD                                                                                       ,No
2660721,968801,491,MPS                 ,Gazipur,android,express,35,8/3/2019 10:16,8/3/2019 4:45,No,No,E-Desh                                                                                              ,No
2660698,986270,1500,MPD                 ,Dhaka,desktop,normal,35,8/3/2019 10:04,8/3/2019 5:00,No,No,E-Desh                                                                                              ,No
2660511,971966,130,MPS                 ,Gazipur,android,normal,25,8/3/2019 8:34,8/3/2019 2:59,No,Yes,E-Desh                                                                                              ,No
2660499,971966,350,MPS                 ,Gazipur,android,normal,25,8/3/2019 8:18,8/3/2019 2:59,No,No,E-Desh                                                                                              ,No
2660444,986062,120,MPD                 ,Dhaka,android,normal,0,8/3/2019 7:31,8/3/2019 2:44,Yes,Yes,E-Courier LTD                                                                                       ,No
2660091,912249,399,MPD                 ,Gazipur,android,normal,60,8/3/2019 0:16,8/3/2019 3:57,No,No,E-Desh                                                                                              ,No
2659772,971868,620,MPD                 ,Dhaka,android,normal,30,8/2/2019 22:50,8/2/2019 17:11,No,No,E-Desh                                                                                              ,No
2659240,947813,550,MPD                 ,Dhaka,mobile-site,normal,35,8/2/2019 20:39,8/2/2019 14:42,No,No,E-Desh                                                                                              ,No
2659022,499658,115,MPS                 ,Dhaka,android,normal,0,8/2/2019 19:41,8/2/2019 13:44,Yes,Yes,E-Courier LTD                                                                                       ,No
2658878,958512,243,MPD                 ,Dhaka,android,normal,30,8/2/2019 18:50,8/2/2019 13:05,No,No,E-Desh                                                                                              ,No
2658690,836355,185,MPD                 ,Dhaka,android,normal,30,8/2/2019 17:23,8/2/2019 11:24,No,No,E-Desh                                                                                              ,No
2658658,836355,352,MPD                 ,Dhaka,android,normal,30,8/2/2019 17:12,8/2/2019 11:18,No,Yes,E-Desh                                                                                              ,No
2658572,809487,215,MPD                 ,Dhaka,android,normal,30,8/2/2019 16:49,8/2/2019 10:50,No,Yes,E-Desh                                                                                              ,No
2658471,451589,299,MPS                 ,Dhaka,android,normal,25,8/2/2019 16:33,8/2/2019 10:42,No,Yes,E-Courier LTD                                                                                       ,No
2658451,972628,185,MPD                 ,Dhaka,android,normal,30,8/2/2019 16:24,8/2/2019 10:30,No,No,E-Courier LTD                                                                                       ,No
2658404,985546,250,MPD                 ,Dhaka,android,normal,0,8/2/2019 16:12,8/2/2019 10:27,Yes,No,E-Courier LTD                                                                                       ,No
2658403,985546,225,MPD                 ,Dhaka,android,normal,0,8/2/2019 16:12,8/2/2019 10:27,Yes,No,E-Courier LTD                                                                                       ,No
2658382,985360,296,OPS                 ,Dhaka,android,normal,25,8/2/2019 16:07,8/2/2019 10:17,Yes,No,E-Courier LTD                                                                                       ,No
2658274,984835,245,MPS                 ,Dhaka,android,normal,25,8/2/2019 15:43,8/2/2019 9:53,No,Yes,E-Desh                                                                                              ,No
2658083,680002,320,ADC                 ,Dhaka,android,normal,25,8/2/2019 14:50,8/2/2019 9:39,Yes,No,E-Desh                                                                                              ,No
2658053,985546,660,MPD                 ,Dhaka,android,normal,30,8/2/2019 14:40,8/2/2019 9:31,No,Yes,E-Courier LTD                                                                                       ,No
2657832,742797,499,MPD                 ,Dhaka,mobile-site,normal,35,8/2/2019 13:20,8/2/2019 8:30,No,No,E-Desh                                                                                              ,No
2657693,393849,350,ADC                 ,Dhaka,android,normal,25,8/2/2019 12:33,8/2/2019 6:47,No,No,E-Desh                                                                                              ,No
2657428,930337,150,MPD                 ,Gazipur,android,normal,60,8/2/2019 11:30,8/2/2019 10:24,No,No,E-Desh                                                                                              ,No
2657295,357528,1270,MPS                 ,Dhaka,android,normal,0,8/2/2019 10:49,8/2/2019 4:52,No,No,E-Courier LTD                                                                                       ,No
2656888,508438,280,MPS                 ,Gazipur,android,normal,0,8/2/2019 7:45,8/2/2019 2:15,Yes,No,E-Desh                                                                                              ,No
2656887,508438,22,MPS                 ,Gazipur,android,normal,0,8/2/2019 7:45,8/2/2019 2:15,Yes,No,E-Desh                                                                                              ,No
2656886,508438,62,MPS                 ,Gazipur,android,normal,0,8/2/2019 7:45,8/2/2019 2:15,Yes,No,E-Desh                                                                                              ,No
2656885,508438,70,MPS                 ,Gazipur,android,normal,0,8/2/2019 7:45,8/2/2019 2:15,Yes,No,E-Desh                                                                                              ,No
2656883,508438,399,MPS                 ,Gazipur,android,normal,0,8/2/2019 7:45,8/2/2019 2:16,Yes,Yes,E-Desh                                                                                              ,No
2656703,117163,177,MPD                 ,Dhaka,android,normal,30,8/2/2019 2:50,8/2/2019 2:57,No,Yes,E-Desh                                                                                              ,No
2656680,973846,250,MPD                 ,Dhaka,android,normal,30,8/2/2019 2:28,8/2/2019 4:17,No,No,E-Desh                                                                                              ,No
2656578,900141,150,MPD                 ,Gazipur,android,normal,60,8/2/2019 1:31,8/2/2019 3:10,No,Yes,E-Desh                                                                                              ,No
2656498,532777,550,MPD                 ,Dhaka,android,normal,30,8/2/2019 0:46,8/2/2019 2:56,No,No,E-Courier LTD                                                                                       ,No
2656345,965570,455,MPD                 ,Dhaka,android,normal,30,8/1/2019 23:48,8/1/2019 17:51,No,No,E-Desh                                                                                              ,No
2656269,985239,0,MPD                 ,Dhaka,android,normal,25,8/1/2019 23:25,8/1/2019 17:26,Yes,Yes,E-Desh                                                                                              ,No
2656268,985239,225,MPD                 ,Dhaka,android,normal,30,8/1/2019 23:25,8/1/2019 17:26,Yes,Yes,E-Desh                                                                                              ,No
2656206,985179,182,MPS                 ,Dhaka,android,normal,25,8/1/2019 23:05,8/1/2019 17:11,No,Yes,E-Desh                                                                                              ,No
2656087,985179,700,MPS                 ,Dhaka,android,normal,25,8/1/2019 22:33,8/1/2019 16:39,Yes,Yes,E-Desh                                                                                              ,No
2655961,973745,195,MPD                 ,Dhaka,android,normal,30,8/1/2019 22:02,8/1/2019 16:05,No,No,E-Desh                                                                                              ,No
2655960,967864,405,MPS                 ,Dhaka,android,normal,0,8/1/2019 22:01,8/1/2019 16:04,Yes,Yes,E-Courier LTD                                                                                       ,No
2655926,436168,154,ADC                 ,Dhaka,android,normal,25,8/1/2019 21:51,8/1/2019 15:53,Yes,No,E-Desh                                                                                              ,No
2655679,358507,310,MPD                 ,Dhaka,android,normal,30,8/1/2019 20:55,8/1/2019 14:59,Yes,No,E-Courier LTD                                                                                       ,No
2655673,967171,461,MPD                 ,Dhaka,android,normal,30,8/1/2019 20:53,8/1/2019 15:12,No,Yes,E-Desh                                                                                              ,No
2655670,171526,165,MPS                 ,Dhaka,android,normal,25,8/1/2019 20:51,8/1/2019 14:55,No,Yes,E-Desh                                                                                              ,No
2655628,780322,409,MPD                 ,Dhaka,android,normal,30,8/1/2019 20:40,8/1/2019 15:02,No,No,E-Desh                                                                                              ,No
2655623,985084,399,MPD                 ,Dhaka,mobile-site,normal,25,8/1/2019 20:37,8/1/2019 14:55,Yes,No,E-Desh                                                                                              ,No
2655622,985084,399,MPD                 ,Dhaka,mobile-site,normal,35,8/1/2019 20:37,8/1/2019 14:55,Yes,No,E-Desh                                                                                              ,No
2655448,156539,239,MPD                 ,Dhaka,android,normal,30,8/1/2019 19:56,8/1/2019 14:45,No,Yes,E-Courier LTD                                                                                       ,Yes
2655122,738886,235,MPD                 ,Dhaka,android,normal,30,8/1/2019 19:02,8/1/2019 13:44,No,Yes,E-Courier LTD                                                                                       ,No
2654795,460596,195,MPD                 ,Dhaka,android,normal,30,8/1/2019 17:38,8/1/2019 11:41,No,No,E-Desh                                                                                              ,No
2654690,967171,258,MPD                 ,Dhaka,android,normal,30,8/1/2019 17:11,8/1/2019 11:19,No,Yes,E-Desh                                                                                              ,No
2654666,873397,144,MPS                 ,Dhaka,android,normal,25,8/1/2019 17:01,8/1/2019 11:04,Yes,Yes,E-Desh                                                                                              ,No
2654665,873397,144,MPS                 ,Dhaka,android,normal,25,8/1/2019 17:01,8/1/2019 11:04,Yes,Yes,E-Desh                                                                                              ,No
2654642,507725,244,MPD                 ,Dhaka,android,normal,30,8/1/2019 16:57,8/1/2019 14:09,No,Yes,E-Courier LTD                                                                                       ,Yes
2654611,984940,635,MPD                 ,Dhaka,android,normal,25,8/1/2019 16:51,8/1/2019 11:07,No,No,E-Desh                                                                                              ,No
2654205,252482,99,MPD                 ,Dhaka,android,normal,30,8/1/2019 15:13,8/1/2019 9:38,No,No,E-Courier LTD                                                                                       ,No
2653952,696740,332,MPS                 ,Dhaka,android,normal,0,8/1/2019 14:13,8/1/2019 8:21,Yes,Yes,E-Desh                                                                                              ,No
2653870,498528,299,MPS                 ,Dhaka,android,normal,25,8/1/2019 13:47,8/1/2019 8:54,No,Yes,E-Desh                                                                                              ,No
2653742,970553,350,MPD                 ,Dhaka,android,normal,30,8/1/2019 13:15,8/1/2019 10:44,Yes,No,E-Desh                                                                                              ,No
2653722,958990,520,MPS                 ,Dhaka,android,normal,25,8/1/2019 13:11,8/1/2019 8:16,No,No,E-Desh                                                                                              ,No
2652484,850662,269,MPD                 ,Dhaka,android,normal,30,8/1/2019 11:50,8/1/2019 9:14,No,Yes,E-Desh                                                                                              ,No
2652480,545625,302,MPD                 ,Dhaka,android,normal,30,8/1/2019 11:50,8/1/2019 9:14,No,No,E-Courier LTD                                                                                       ,No
2652090,357167,201,MPD                 ,Dhaka (Outside City),android,normal,60,8/1/2019 10:58,8/1/2019 9:14,No,Yes,Paperfly                                                                                            ,No
2652081,535559,477,MPD                 ,Dhaka,android,normal,30,8/1/2019 10:56,8/1/2019 5:08,No,Yes,E-Desh                                                                                              ,No
2652003,984666,161,MPD                 ,Dhaka,android,normal,30,8/1/2019 10:44,8/1/2019 8:44,No,Yes,E-Desh                                                                                              ,No
2651921,699720,350,MPD                 ,Dhaka,mobile-site,normal,35,8/1/2019 10:39,8/1/2019 9:05,No,No,E-Desh                                                                                              ,Yes
2651777,983550,1849,MPD                 ,Dhaka,mobile-site,normal,35,8/1/2019 10:06,8/1/2019 4:08,No,No,E-Desh                                                                                              ,No
2651636,982884,144,MPS                 ,Dhaka,android,normal,0,8/1/2019 9:50,8/1/2019 4:00,Yes,Yes,E-Desh                                                                                              ,No
2651635,982884,258,MPS                 ,Dhaka,android,normal,0,8/1/2019 9:50,8/1/2019 4:00,Yes,Yes,E-Desh                                                                                              ,No
2651633,982884,258,MPS                 ,Dhaka,android,normal,0,8/1/2019 9:50,8/1/2019 4:00,Yes,Yes,E-Desh                                                                                              ,No
2651570,799519,235,MPD                 ,Dhaka,android,normal,30,8/1/2019 9:37,8/1/2019 4:39,No,Yes,E-Desh                                                                                              ,No
2651460,471408,179,MPS                 ,Dhaka,android,normal,25,8/1/2019 9:04,8/1/2019 3:42,No,Yes,E-Desh                                                                                              ,No
2651403,703492,267,MPD                 ,Dhaka,android,normal,25,8/1/2019 8:52,8/1/2019 3:38,Yes,Yes,E-Desh                                                                                              ,No
2651398,552916,192,MPD                 ,Dhaka,android,normal,30,8/1/2019 8:49,8/1/2019 3:35,No,Yes,E-Desh                                                                                              ,No
2651347,980810,295,MPD                 ,Dhaka,android,normal,30,8/1/2019 8:36,8/1/2019 5:18,No,Yes,E-Desh                                                                                              ,No
2651192,194064,268,MPD                 ,Dhaka,android,normal,0,8/1/2019 7:43,8/1/2019 2:28,Yes,Yes,E-Courier LTD                                                                                       ,No
2650563,984555,158,MPD                 ,Dhaka,android,normal,30,8/1/2019 4:19,8/1/2019 2:16,No,No,E-Desh                                                                                              ,No
2650539,926052,399,MPD                 ,Dhaka,android,normal,30,8/1/2019 3:43,8/1/2019 3:04,No,Yes,E-Desh                                                                                              ,No
2650501,984530,186,MPD                 ,Dhaka,mobile-site,normal,35,8/1/2019 3:14,8/1/2019 3:13,No,Yes,E-Desh                                                                                              ,No
